P001;1.00000;Corralillo de San Miguel, Toledo, España;39.858966;-4.020902
P002;4.00000;Alferez Provisional, 1, Toledo, España
P032;12.00000;Cardenal Tavera (La Vega), Toledo, España;39.863504;-4.024522
P033;13.00000;M. Mendigorria (Cines), Toledo, España;39.866516;-4.022734
P034;16.00000;General Villalba 19, Toledo, España;39.868948;-4.022040
P153;17.00000;General Villalba 3, Toledo, España;39.868682;-4.024785
P035;19.00000;Avda Europa (I. San Julian), Toledo, España;39.869436;-4.026222
P036;20.00000;Avda Europa (Iberdrola), Toledo, España;39.871544;-4.027715
P037;24.00000;, Toledo, España;39.873872;-4.029482
P038;25.00000;Avda Europa (Escalera CEI), Toledo, España;39.876321;-4.031286
P039;27.00000;Avda Francia (Sanidad), Toledo, España;39.877594;-4.031654
P040;28.00000;Avda Francia (Ciudad Nara), Toledo, España;39.879379;-4.029904
P320;31.00000;Frente Convento, Toledo, España
P041;35.00000;Alemania 5, Toledo, España
P042;40.00000;Alemania 87, Toledo, España
P043;41.00000;Alemania, Esq. Reino Unido, Toledo, España
P046;43.00000;Reino Unido, Toledo, España
P329;49.00000;Avda Irlanda, Farmacia, Toledo, España
P359;56.00000;Convento, Toledo, España;39.881565;-4.027802
P001;96.00000;Corralillo de San Miguel, Toledo, España;39.858966;-4.020902
P029;93.00000;Zocodover (Cuesta Carlos V), Toledo, España;39.858830;-4.021161
P056;85.00000;Cardenal Tavera (La Vega), Toledo, España;39.863705;-4.024703
P055;84.00000;M. Mendigorria (colegio), Toledo, España;39.865829;-4.023410
P054;83.00000;M. Mendigorria (Electricistas), Toledo, España;39.868091;-4.022116
P053;81.00000;General Villalba 24, Toledo, España;39.868773;-4.022034
P052;79.00000;General Villalba, 6, Toledo, España;39.868513;-4.024700
P051;74.00000;Avda Europa (Fte Iglesia), Toledo, España
P050;73.00000;Avda Europa (Tenis), Toledo, España
P049;72.00000;Avda Europa (Parque), Toledo, España
P048;71.00000;Avda Europa (Altos Vellavista), Toledo, España
P360;63.00000;Plaza  Holanda, Toledo, España;39.879323;-4.030383
