P001;1.00000;Corralillo de San Miguel, Toledo, España
P002;4.00000;Alferez Provisional, 1, Toledo, España
P003;13.00000;Alfonso VI (Fuente), Toledo, España
400;18.00000;AV.CARLOS 3 PARQUE, Toledo, España
P335;19.00000;Avda Carlos III (Aparcamiento), Toledo, España
P072;23.00000;San Pedro el Verde (Universidad), Toledo, España
P073;29.00000;San Pedro el Verde (Solimat), Toledo, España
P074;36.00000;Ctra. de Peraleda, Toledo, España
294;43.00000;Avda de Portugal - Ahorramas, Toledo, España
296;47.00000;, Toledo, España
P039;50.00000;Avda Francia (Sanidad), Toledo, España
P040;51.00000;Avda Francia (Ciudad Nara), Toledo, España
P320;55.00000;Frente Convento, Toledo, España
P001;107.00000;Corralillo de San Miguel, Toledo, España
P029;104.00000;Zocodover (Cuesta Carlos V), Toledo, España
P028;99.00000;Puerta Bisagra Interior, Toledo, España
P337;93.00000;Avda Carlos III (Venta de Aires), Toledo, España
P336;92.00000;Avda Carlos III (Aparcamiento), Toledo, España
P335;91.00000;Avda Carlos III (Aparcamiento), Toledo, España
P334;90.00000;Vda Mas del Ribero - Rotonda, Toledo, España
P012;82.00000;Avda Portugal (Sta. Casilda), Toledo, España
P019;77.00000;Ronda Buenavista 28 (C.Comercial), Toledo, España
P018;76.00000;Ronda Buenavista 24 (Iglesia), Toledo, España
P017;71.00000;Ronda Buenavista 22 (Maristas), Toledo, España
P046;66.00000;Reino Unido, Toledo, España
P043;65.00000;Alemania, Esq. Reino Unido, Toledo, España
P042;64.00000;Alemania 87, Toledo, España
P041;59.00000;Alemania 5, Toledo, España
