P001;1.00000;Corralillo de San Miguel, Toledo, España
P002;6.00000;Alferez Provisional, 1, Toledo, España
P003;20.00000;Alfonso VI (Fuente), Toledo, España;39.862777;-4.025937
P004;26.00000;Avda Reconquista, 6, Toledo, España;39.8641395;-4.0279529
P005;27.00000;Avda Reconquista, 14, Toledo, España;39.865705;-4.028521
P006;28.00000;Avda Reconquista, 20, Toledo, España;39.866840;-4.028954
P007;36.00000;Division Azul (Piscina), Toledo, España;39.869769;-4.029308
P008;40.00000;Banderas de Castilla (Estanco), Toledo, España;39.871101;-4.031280
P009;45.00000;Bruselas (Ambulatorio), Toledo, España;39.872161;-4.034870
P010;49.00000;Lisboa (El Clavel), Toledo, España;39.873320;-4.034623
P011;53.00000;Zaragoza (Colegio), Toledo, España
P012;56.00000;Avda Portugal (Sta. Casilda), Toledo, España
P001;158.00000;Corralillo de San Miguel, Toledo, España
P029;153.00000;Zocodover (Cuesta Carlos V), Toledo, España
P028;136.00000;Puerta Bisagra Interior, Toledo, España
P027;126.00000;, Toledo, España;39.863010;-4.027696
P026;124.00000;Avda Reconquista (Carmelitas), Toledo, España;39.865497;-4.028681
P025;122.00000;Avda Reconquista (Nodal), Toledo, España;39.867238;-4.029306
P024;116.00000;Division Azul (colegio), Toledo, España;39.869041;-4.029521
P023;111.00000;, Toledo, España;39.870533;-4.031575
P022;107.00000;Bruselas (Ambulatorio), Toledo, España;39.871698;-4.034108
P021;101.00000;Lisboa (Gressy), Toledo, España;39.873167;-4.034890
P020;98.00000;Zaragoza (Colegio), Toledo, España;39.875020;-4.034702
P019;90.00000;Ronda Buenavista 28 (C.Comercial), Toledo, España;39.876257;-4.035733
P018;89.00000;Ronda Buenavista 24 (Iglesia), Toledo, España;39.877237;-4.033278
P017;82.00000;Ronda Buenavista 22 (Maristas), Toledo, España
P016;79.00000;Ronda Buenavista 18, Toledo, España
P015;75.00000;Ronda Buenavista, 16 (Alcosto), Toledo, España
P014;68.00000;Ronda Buenavista, 6, Toledo, España
P013;61.00000;Ronda Buenavista, 4, Toledo, España
