P255;1.00000;Pza del Conde (Palacio Fuensalida), Toledo, España;39.856182;-4.028232
P256;10.00000;Plaza Barrio Nuevo, Toledo, España;39.856448;-4.030335
P257;13.00000;, Toledo, España;39.857588;-4.031025
P258;20.00000;, Toledo, España;39.859050;-4.031963
P259;26.00000;Paseo de Recaredo (Rotonda), Toledo, España;39.862159;-4.0276796
P004;31.00000;Avda Reconquista, 6, Toledo, España;39.8641395;-4.0279529
P005;32.00000;Avda Reconquista, 14, Toledo, España;39.865705;-4.028521
P006;33.00000;Avda Reconquista, 20, Toledo, España;39.866840;-4.028954
P007;41.00000;Division Azul (Piscina), Toledo, España;39.869769;-4.029308
P008;45.00000;Banderas de Castilla (Estanco), Toledo, España;39.871101;-4.031280
P009;49.00000;Bruselas (Ambulatorio), Toledo, España;39.872161;-4.034870
P010;52.00000;Lisboa (El Clavel), Toledo, España;39.873320;-4.034623
P011;57.00000;Zaragoza (Colegio), Toledo, España
P012;60.00000;Avda Portugal (Sta. Casilda), Toledo, España
P255;167.00000;Pza del Conde (Palacio Fuensalida), Toledo, España;39.856182;-4.028232
P254;155.00000;, Toledo, España
P253;152.00000;Reyes Catolicos, Toledo, España
P252;138.00000;Puente San Martin, Toledo, España
P251;128.00000;, Toledo, España
P027;118.00000;, Toledo, España;39.863010;-4.027696
P026;117.00000;Avda Reconquista (Carmelitas), Toledo, España;39.865497;-4.028681
P025;116.00000;Avda Reconquista (Nodal), Toledo, España;39.867238;-4.029306
P024;111.00000;Division Azul (colegio), Toledo, España;39.869041;-4.029521
P023;108.00000;, Toledo, España;39.870533;-4.031575
P022;105.00000;Bruselas (Ambulatorio), Toledo, España;39.871698;-4.034108
P021;100.00000;Lisboa (Gressy), Toledo, España;39.873167;-4.034890
P020;97.00000;Zaragoza (Colegio), Toledo, España;39.875020;-4.034702
P019;90.00000;Ronda Buenavista 28 (C.Comercial), Toledo, España;39.876257;-4.035733
P018;89.00000;Ronda Buenavista 24 (Iglesia), Toledo, España;39.877237;-4.033278
P017;83.00000;Ronda Buenavista 22 (Maristas), Toledo, España
P016;80.00000;Ronda Buenavista 18, Toledo, España
P015;76.00000;Ronda Buenavista, 16 (Alcosto), Toledo, España
P014;70.00000;Ronda Buenavista, 6, Toledo, España
P013;64.00000;Ronda Buenavista, 4, Toledo, España
