P001;1.00000;Corralillo de San Miguel, Toledo, España
P104;7.00000;Zocodover (Plaza), Toledo, España
317;17.00000;Bar El Clavel, Toledo, España;39.862583;-4.024851
P217;21.00000;Carrera (Fte muralla), Toledo, España;39.863573;-4.022275
P110;36.00000;Paseo de la Rosa (Fte Renfe), Toledo, España;39.861982;-4.012230
P111;41.00000;Paseo de la Rosa (Bar Telon), Toledo, España;39.861566;-4.009281
P112;47.00000;Plaza de Santa Barbara, Toledo, España;39.860038;-4.005791
P001;113.00000;Corralillo de San Miguel, Toledo, España
P029;108.00000;Zocodover (Cuesta Carlos V), Toledo, España
P028;100.00000;Puerta Bisagra Interior, Toledo, España
P211;92.00000;Rda. de Granadal (Est. Autobuses), Toledo, España;39.863763;-4.020841
P120;82.00000;Paseo de la Rosa (Renfe), Toledo, España;39.862322;-4.012496
P119;79.00000;Paseo de la Rosa (Fte Bar Telon), Toledo, España;39.861839;-4.009253
P118;77.00000;Paseo de la Rosa 15, Toledo, España;39.862095;-4.005556
P117;74.00000;Paseo de la Rosa (Estrella), Toledo, España;39.861941;-4.001968
P116;65.00000;Avda Santa Barbara (Rotonda), Toledo, España;39.860577;-4.000114
P115;62.00000;Avda Sta Barbara (Polideportivo), Toledo, España;39.858973;-3.999633
P114;55.00000;Esparteros 20, Toledo, España;39.858632;-4.001354
P113;51.00000;Arroyo (Estanco), Toledo, España;39.859297;-4.004265
