idl;ido
P001;1.00000
P104;7.00000
317;19.00000
P217;24.00000
P110;41.00000
P111;44.00000
P220;46.00000
P221;51.00000
P370;80.00000
P371;83.00000
P372;88.00000
P223;91.00000
P224;92.00000
P225;94.00000
P345;95.00000
P232;96.00000
P233;97.00000
P234;98.00000
P128;104.00000
P001;205.00000
P029;199.00000
P028;190.00000
P211;183.00000
P120;173.00000
P119;169.00000
P118;168.00000
P117;165.00000
P375;132.00000
P374;130.00000
P373;126.00000
P135;122.00000
P134;121.00000
P133;120.00000
P132;116.00000
P131;113.00000
P130;111.00000
P129;109.00000
