P121;1.00000;Estacion Autobuses (Vta);39.865541;-4.020265
P121;2.00000;Estacion Autobuses (Vta);39.865541;-4.020265
P211;5.00000;Rda. de Granadal (Est. Autobuses);39.863763;-4.020841
P032;17.00000;Cardenal Tavera (La Vega);39.863504;-4.024522
P033;19.00000;M. Mendigorria (Cines);39.866516;-4.022734
P034;29.00000;General Villalba 19;39.868948;-4.022040
P153;32.00000;General Villalba 3;39.868682;-4.024785
P361;34.00000;General Villalba - pabellones;39.867862;-4.027081
P090;47.00000;Avda Barber - Ambulatorio;39.870301;-4.034035
P089;48.00000;Avda Barber (Chano);39.871827;-4.037803
P330;62.00000;Ctra Avila (Rtda Fte El Chuletero);39.879413;-4.047279
P331;72.00000;Hospital Tres Culturas;39.884179;-4.041106
P332;78.00000;Hospital Tres Culturas (vta);39.884179;-4.041106
P088;96.00000;Rotonda Avila (Gasolinera)
P087;99.00000;Clinica el Rosario
P086;123.00000;
P121;196.00000;Estacion Autobuses (Vta);39.865541;-4.020265
P217;187.00000;Carrera (Fte muralla);39.863573;-4.022275
P056;180.00000;Cardenal Tavera (La Vega);39.863705;-4.024703
P055;179.00000;M. Mendigorria (colegio);39.865829;-4.023410
P054;176.00000;M. Mendigorria (Electricistas);39.868091;-4.022116
P053;172.00000;General Villalba 24;39.868773;-4.022034
P052;170.00000;General Villalba, 6;39.868513;-4.024700
P165;169.00000;General Villalba (Escuela);39.867877;-4.026436
P024;163.00000;Division Azul (colegio);39.869061;-4.029507
P022;157.00000;Bruselas (Ambulatorio);39.871706;-4.034126
P021;154.00000;Lisboa (Gressy);39.873166;-4.034884
294;152.00000;Avda de Portugal - Ahorramas;39.873673;-4.038033
316;143.00000;Clinica el Rosario (Vta)
