P128;1.00000;Rio Alberche 112 (Cabecera 9), Toledo, España;39.871550;-3.936440
P129;5.00000;Rio Alberche (Parque de la Luz), Toledo, España;39.869969;-3.939262
P130;6.00000;Rio Alberche (Estanco), Toledo, España;39.868913;-3.941901
P131;7.00000;Rio Alberche (Caja Madrid), Toledo, España;39.868006;-3.944231
P132;8.00000;, Toledo, España
P133;9.00000;Rio Alberche 25, Toledo, España
P134;10.00000;Rio Alberche 15, Toledo, España
P135;11.00000;Rio Alberche 1, Toledo, España
P322;15.00000;Avda Boladiez (Res. Ancianos), Toledo, España
P323;17.00000;Avda Boladiez (Television), Toledo, España;39.861961;-3.956369
323b;19.00000;SESCAM, Toledo, España;39.860545;-3.963306
321b;26.00000;Centro Comercial Eroski, Toledo, España;39.862096;-3.972643
P324;34.00000;Via Tarpeya (Rotonda), Toledo, España;39.860809;-3.968794
P178;39.00000;Arroyomolinos (Gasolinera), Toledo, España;39.865121;-3.970201
P140;44.00000;Jarama (Mercado Mayoristas), Toledo, España;39.864743;-3.974569
P122;74.00000;Avd Castilla la Mancha -Est Futbol, Toledo, España
P034;80.00000;General Villalba 19, Toledo, España;39.868948;-4.022040
P153;82.00000;General Villalba 3, Toledo, España;39.868682;-4.024785
P035;85.00000;Avda Europa (I. San Julian), Toledo, España;39.869436;-4.026222
P036;86.00000;Avda Europa (Iberdrola), Toledo, España;39.871544;-4.027715
P037;90.00000;, Toledo, España;39.873872;-4.029482
P038;91.00000;Avda Europa (Escalera CEI), Toledo, España;39.876321;-4.031286
P018;96.00000;Ronda Buenavista 24 (Iglesia), Toledo, España;39.877235;-4.033282
P019;97.00000;Ronda Buenavista 28 (C.Comercial), Toledo, España;39.876260;-4.035737
P020;104.00000;Zaragoza (Colegio), Toledo, España;39.875017;-4.034703
P021;106.00000;Lisboa (Gressy), Toledo, España;39.873166;-4.034884
P022;111.00000;Bruselas (Ambulatorio), Toledo, España;39.871706;-4.034126
P128;221.00000;Rio Alberche 112 (Cabecera 9), Toledo, España;39.871550;-3.936440
P234;215.00000;Rio Alberche (Centro Cultural), Toledo, España
P233;214.00000;Rio Alberche (Fte Monjas), Toledo, España
P232;213.00000;Rio Alberche (Caja Madrid), Toledo, España
P345;212.00000;Rio Alberche (Biblioteca), Toledo, España;39.866662;-3.947350
P225;210.00000;Rio Alberche (Edificio Correos), Toledo, España;39.865909;-3.949385
P224;208.00000;Rio Alberche 26, Toledo, España;39.864908;-3.951970
P223;205.00000;Rio Alberche 6, Toledo, España;39.863724;-3.955195
P344;200.00000;Avda Boladiez (Fte. Res. Ancianos), Toledo, España
P343;196.00000;Avda Boladiez (Fte Television), Toledo, España;39.861752;-3.956237
P343a;195.00000;SESCAM, Toledo, España;39.860301;-3.963263
321;186.00000;Centro Comercial Eroski, Toledo, España;39.862096;-3.972643
P393;177.00000;Rotonda Mercadona, Toledo, España
P108;142.00000;Avd Castilla La Mancha -Est Futbol, Toledo, España;39.870323;-4.016580
P107;133.00000;Ronda San Anton (Bomberos), Toledo, España;39.869688;-4.020563
P053;129.00000;General Villalba 24, Toledo, España;39.868773;-4.022034
P052;127.00000;General Villalba, 6, Toledo, España;39.868513;-4.024700
P165;125.00000;General Villalba (Escuela), Toledo, España;39.867877;-4.026436
P024;116.00000;Division Azul (colegio), Toledo, España;39.869061;-4.029507
P023;114.00000;, Toledo, España;39.870534;-4.031571
